,District,Borough,latitude,longitude,Population
0,Stadtbezirk 1,Altstadt,51.2259125,6.7735672,2453
1,Stadtbezirk 1,Carlstadt,51.2221416,6.7733942,2281
2,Stadtbezirk 1,Stadtmitte,51.2219385,6.7844229,14958
3,Stadtbezirk 1,Pempelfort,51.2396009,6.7796845,33282
4,Stadtbezirk 1,Derendorf,51.2445487,6.7922488,20760
5,Stadtbezirk 1,Golzheim,51.2507945,6.7599633,12861
6,Stadtbezirk 2,Flingern Süd,51.2210094,6.8100603,10413
7,Stadtbezirk 2,Flingern Nord,51.2313815,6.8132378,25464
8,Stadtbezirk 2,Düsseltal,51.2378412,6.812116,28077
9,Stadtbezirk 3,Friedrichstadt,51.2135645,6.7816997,19712
10,Stadtbezirk 3,Unterbilk,51.210055,6.7669651,19402
11,Stadtbezirk 3,Hafen,51.2170292,6.7335758,82
12,Stadtbezirk 3,Hamm,51.2035725,6.7388087,4496
13,Stadtbezirk 3,Volmerswerth,51.1885784,6.7490097,2355
14,Stadtbezirk 3,Bilk,51.2027583,6.7851015,41128
15,Stadtbezirk 3,Oberbilk,51.2136887,6.8024279,30961
16,Stadtbezirk 3,Flehe,51.1922044,6.7717128,2730
17,Stadtbezirk 4,Oberkassel,51.2295816,6.7554498,19017
18,Stadtbezirk 4,Heerdt,51.2323927,6.7201136,12352
19,Stadtbezirk 4,Lörick,51.2459011,6.7243627,7614
20,Stadtbezirk 4,Niederkassel,51.2402074,6.7519846,6105
21,Stadtbezirk 5,Stockum,51.2649106,6.7416467,5596
22,Stadtbezirk 5,Lohausen,51.2786408,6.7311343,4121
23,Stadtbezirk 5,Kaiserswerth,51.3014826,6.7355171,8017
24,Stadtbezirk 5,Wittlaer,51.3194386,6.7420578,8261
25,Stadtbezirk 5,Angermund,51.3289952,6.7814162,6745
26,Stadtbezirk 5,Kalkum,51.302451,6.7580299,1955
27,Stadtbezirk 6,Lichtenbroich,51.2838706,6.7950205,6218
28,Stadtbezirk 6,Unterrath,51.2732625,6.786978,21995
29,Stadtbezirk 6,Rath,51.2639048,6.8203259,20412
30,Stadtbezirk 6,Mörsenbroich,51.253381,6.8116302,18123
31,Stadtbezirk 7,Gerresheim,51.2376864,6.8609034,29874
32,Stadtbezirk 7,Grafenberg,51.2410926,6.8329492,5844
33,Stadtbezirk 7,Ludenberg,51.2563567,6.8661509,8081
34,Stadtbezirk 7,Hubbelrath,51.25659395,6.90395357981687,1605
35,Stadtbezirk 7,Knittkuhl,51.2686818,6.8709071,2062
36,Stadtbezirk 8,Lierenfeld,51.2084072,6.8304704,11249
37,Stadtbezirk 8,Eller,51.2012532,6.8375905,31547
38,Stadtbezirk 8,Vennhausen,51.2095533,6.8583499,10722
39,Stadtbezirk 8,Unterbach,51.2034973,6.8978319,7829
40,Stadtbezirk 9,Wersten,51.1896284,6.8177768,27325
41,Stadtbezirk 9,Himmelgeist,51.1683369,6.8055675,2063
42,Stadtbezirk 9,Holthausen,51.1759984,6.8329996,12890
43,Stadtbezirk 9,Reisholz,51.1779432,6.8577144,3773
44,Stadtbezirk 9,Benrath,51.163479,6.8727345,16583
45,Stadtbezirk 9,Urdenbach,51.1479786,6.8663605,10656
46,Stadtbezirk 9,Itter,51.1678914,6.8176664,2400
47,Stadtbezirk 9,Hassels,51.1819526,6.8662858,18586
48,Stadtbezirk 10,Garath,51.1437191,6.8998339,19046
49,Stadtbezirk 10,Hellerhof,51.1323633,6.9067285,5842
